url,time,flow,chunk
-a8L9S_rnoM,2024_11_29_08_52,192.168.38.62:53505-142.251.84.41:443,854704/591147/587526/131379/671725/83949/989490/414144/1222072/1058879/678137/564200/396083/583303/814902/1113221/732323/566881/347108/134913/754093/214508/360074/338095/309692/371999/164707/261776/721537/505419/284032/271861/336275/442659/699669/279486/339025/508088/207358/363241/445849/422217/68620/270300/165067/229202/71442/225983/104700/230985/185173/239842/329618/364906/244340/16563/733306/257762/460762/1025485/286866/68621/435276/300577/330592/294349/585753/290829/327865/323759/580501/295097/287637/321772/382402/693745/227802/295097/552277/466550/175201/256776/435124/292696/273840
-a8L9S_rnoM,2024_11_29_08_52,192.168.38.62:53560-173.194.4.72:443,1415889/711507/798562/555246/484661
-a8L9S_rnoM,2024_11_29_09_03,192.168.38.62:53720-142.251.84.41:443,169900/284898/295094/295710/295172/296941/521998/293031/565625/364119/360632/486794/552471/292399/549940/218920/502190/295853/295096/378899/290396/413611/337985/214508/360074/338095/296198/184408/164707/261776/409957/295194/54662/271861/336275/442659/489824/279486/339025/295096/207358/355166/445849/422217/68620/270300/165067/229226/71442/225983/104700/230985/185173/239842/346002/290828/244340/479699/295096/257762/460762
-a8L9S_rnoM,2024_11_29_09_03,192.168.38.62:53832-142.251.84.74:443,369006/294310/327453/295175/223160/311481/377017/304174/295174/290941/327942/213172/921128/602481/295097
-a8L9S_rnoM,2024_11_29_09_03,192.168.38.62:53862-142.251.84.74:443,295097/295098/295098/570752/295098/300149/295098/295098/295098/295098/697026/295098/562241/295098/293773/377097/524479/295098/288361/145729
-jLKihdczEo,2024_11_25_05_36,192.168.38.62:52164-74.125.101.170:443,690349/561384/442549/1094699/606473/16561/780516/32957/16561/32949/844393/867459/810003/918715/835612/498459/385764/123793/989279/665920/446884/354795/531947/382981/432530/429901/687357/391718/582434/377002/596700/374685/875168/360496/324213/348304/841156/526519/336030/868233/437435/328926/455329/1045723/193276/622209/361077/269581/358750/184755/989736/585569/631700/413685/900006/417069/597529/689636/489150/670707/690449/581802/604007/369184/312620/301972/764318/576591/297294/338689/115515/293128/530978/466922/244401/403759/946405/438356/454446/268470/521038/234158/306456/164795/314041/524903/760282/559342/388279/822285/520336/420578/196767/420371/161864/284469/215841/489401/98483/118525/682689/229807/187559/435304/110960/355150/559690
-jLKihdczEo,2024_11_25_05_46,192.168.38.62:52313-74.125.101.170:443,1179783/561384/796762/753498/983232/1092507/751310/628562/813568/442550/713289/435740/743291/926864/196785/971047/618475/428273/65711/845844/621668/531947/382981/432530/429901/687357/391704/582434/377002/596700/374685/585323/289937/360496/324213/348304/824772/526519/336030/868233/437435/328922/455329/1012955/193276/948537/269581/358750/184755/989736/585654/49330/213170/229637/16562/387126/581802/587623/369184/312615/301972/764318/576591/297294/338689/115515/293128/530953/32946/244401/420143/946405/208677/454446/268470/521038/234158/306456/164795/314041/524888/760282/559342/861948/499969/368964/420578/196767/420371/161864/300809/215841/489401/298625/118525/682689/229807/187559/435304/269680/196430/592448
-jLKihdczEo,2024_11_25_05_57,192.168.38.62:52442-142.251.84.70:443,1176779/561384/639240/1048500/1224450/497779/591730/159672/1109367/1103849/409782/565469/844393/867464/810003/857521/949804/509465/989279/665920/446884/354795/531947/311479/432530/429901/670973/333060/566050/377002/310929/803287/446566/360496/324213/348304/837210/526519/336030/595460/437435/328922/455329/1029339/193276/622209/344678/269581/358750/184755/989736/585564/631700/413685/32946/262327/597529/16562/458935/969128/581802/604007/287752/131250/764318/576591/297294/338689/115515/823989/516056/405749/258795/946405/438331/454446/268470/521038/234158/306456/164795/314041/524888/760282/559342/388279/473761/499969/368964/420578/196767/420371/161864/300818/215841/489401/298625/118525/555868/229807/187559/435304/269680/196430/592448
-jLKihdczEo,2024_11_25_06_08,192.168.38.62:52574-74.125.101.170:443,1179783/561384/796762/753498/983232/1240048/948463/813568/1062447/713289/844393/867459/810003/595287/683927/920584/509465/425620/245938/210817/446884/354795/531947/382981/432530/322647/687357/391704/582434/377002/596700/803287/446566/234360/324213/348304/841156/526519/336030/868233/437435/328922/455329/1029339/193276/622209/361062/269581/358750/184755/821472/585564/466426/562575/900006/601608/949406/642278/670707/690414/488217/604007/369184/474357/98482/576591/297294/338689/115515/293128/383096/516052/244401/420143/946405/438331/454446/268470/521038/234158/306456/478748/524888/760282/559342/388279/473761/868845/164019/196767/420371/161864/265128/215841/489401/298625/118525/682689/229807/187559/435304/111043/196430/435491
-jLKihdczEo,2024_11_25_06_18,192.168.38.62:52712-74.125.101.170:443,1179783/561384/344245/164016/983232/761340/971819/480646/628562/813568/996911/713289/844393/867459/426896/595287/323520/835612/498459/509465/586584/402787/845839/548535/605080/382981/432530/429901/687357/391704/582434/377002/596700/374685/585323/131250/360496/324213/348304/841156/377093/336030/868233/437435/328922/1194990/193276/180402/361062/269581/311820/184755/989736/585564/466426/562575/900006/749995/801019/642278/670707/690414/581802/604007/369184/312615/285588/764318/65714/297294/338689/115515/293128/530953/516052/196786/946405/438331/454446/268470/521038/234158/306456/524888/760282/559342/861948/499969/368964/420578/196767/420371/161864/300809/489401/298625/118525/682689/229807/49332/269681/196431/592449
