vid,itag,contentlength,seg_num,seg_list
0D6RjjrIClg,398/251,46113744,126,125613/106742/36284/738398/150435/608261/159714/444244/182483/306776/168240/423473/201060/160157/595043/450532/150849/262902/331019/426481/166491/490644/152272/581491/415948/166345/413358/722008/166214/282540/516638/159203/297743/421036/159679/582347/158827/413668/532287/153377/194956/456300/366568/159361/433287/164180/596230/283084/161105/636558/587514/152804/414987/411774/152697/701309/753089/147676/619124/375523/155622/516485/361406/157133/374938/496533/438582/163831/307152/239892/157659/678915/164159/437793/332653/155882/572416/335255/150140/348513/160641/597208/442258/161100/560397/679283/149098/650571/785191/148619/483662/556223/150678/516735/708679/149960/595337/583507/149276/712734/341779/147203/531523/653010/155518/190174/620681/742981/160049/617937/154929/273287/595757/155800/402622/350823/161364/339861/379860/152937/857845/352178/154302/223118/293154/220984
0M34iwQkYz4,136/251,57523532,167,165068/149484/250236/166155/96575/766615/183403/811665/366783/176246/719806/769947/175505/737676/486611/171834/430368/171593/322539/511229/172438/505677/448221/174234/288444/301582/185253/378928/508026/168236/417921/389055/167675/372350/166619/199161/207637/374091/167446/314381/369718/168929/718704/167971/300779/214784/301341/169383/287758/170649/248607/298165/176029/492429/312589/174438/811726/217803/171078/298536/156030/477669/865137/153620/264601/338873/154760/493666/839874/154478/446081/279844/154366/866063/179411/328273/187460/161350/254238/175219/165458/255846/169912/372079/382343/165417/179181/222495/170216/261219/161704/210335/522747/155712/608652/752519/157494/866664/167308/365685/651266/172784/309249/273274/174029/241130/800058/172407/855080/175338/616590/254923/759582/187507/357672/185998/171301/269587/190248/279456/370420/179261/264934/492112/165813/494017/473798/164802/324759/483397/175818/333728/646819/168466/208647/170312/287735/399641/332278/169531/394782/169580/699346/464358/163806/921656/416441/152881/534466/857037/159327/377037/844072/161936/498322/809363/170062/339857/864166/168879/392572/448093/167898/279001/166943/210768/122732
0M34iwQkYz4,247/251,73767009,167,165068/374805/493107/166155/209842/619342/183403/855998/654863/176246/834084/848311/175505/811396/579398/171834/530787/171593/560387/620121/172438/650233/536575/174234/602115/539645/185253/522841/634777/168236/545287/580733/167675/546984/166619/488973/456057/535965/167446/582382/538401/168929/771845/167971/552266/465901/660335/169383/516475/170649/571800/652617/176029/505950/632717/174438/539830/398964/171078/487078/156030/849196/525815/153620/650359/724830/154760/653983/526293/154478/515722/655762/154366/517938/179411/521751/519840/161350/520575/509735/165458/518074/169912/560436/558439/165417/537710/511388/170216/538450/161704/595602/520684/155712/901817/571371/157494/508710/167308/682779/683808/172784/514733/551219/174029/526311/533388/172407/531459/175338/732524/534039/560629/187507/521613/185998/404511/532317/190248/622330/686464/179261/590707/533466/165813/504153/524830/164802/680328/529482/175818/536635/702664/168466/390339/170312/620965/605700/525852/169531/576598/169580/865823/693641/163806/579605/736644/152881/981319/510163/159327/514338/706606/161936/777300/717988/170062/637654/506291/168879/705368/518865/167898/495590/166943/375645/363217
0M34iwQkYz4,398/251,72138449,167,165068/181120/307301/166155/110299/945509/183403/1138728/516067/176246/816937/1114114/175505/833022/747068/171834/638511/171593/467769/418779/172438/414397/630359/174234/417703/457839/185253/550163/402782/168236/593211/565662/167675/556812/166619/302844/307097/369702/167446/454157/549662/168929/569277/167971/419275/295664/439120/169383/437867/170649/374765/430597/176029/650597/443400/174438/713996/253306/171078/636606/156030/601320/1070758/153620/409309/492064/154760/415584/795920/154478/639638/411776/154366/786756/179411/499113/300813/161350/415408/326265/165458/465986/169912/577553/558908/165417/364473/396252/170216/451171/161704/401299/861102/155712/636659/745572/157494/825651/167308/541170/592184/172784/550050/456234/174029/489136/753210/172407/637237/175338/443322/325056/515098/187507/476845/185998/241232/384591/190248/380623/455642/179261/370222/352026/165813/322321/627551/164802/504777/614169/175818/483084/553350/168466/243835/170312/351710/503625/545855/169531/651510/169580/1067488/571831/163806/1575519/734838/152881/978842/1565177/159327/409017/1308997/161936/910102/982101/170062/661923/1240927/168879/678579/968591/167898/383841/166943/223422/217783
0RmCt3w3oIs,136/251,80015384,148,131305/608609/735877/772584/140601/1448468/610169/147703/546339/903039/167480/1675536/172476/1557130/593276/151581/272675/971679/152336/535236/788614/157156/947250/159675/1069157/654529/148984/1810155/154966/1275558/1415770/169900/986387/707879/164131/934460/626888/140283/667222/134094/918970/919407/134088/559781/918050/140042/501682/753402/138151/1017642/132277/922081/827785/158660/853375/1163339/164313/1304816/989694/166921/648782/159822/868764/669155/141966/716749/247221/163462/757456/621133/161640/680180/391458/150303/1221286/692500/147202/360157/367445/153973/667027/361062/161008/770872/434840/159878/343672/974945/170750/874241/533941/177025/1144922/168894/772921/533008/737292/152906/852321/1127886/152534/670639/1010034/151046/1070486/154677/718982/647202/976500/151806/241323/146367/536277/672413/155316/207641/423812/153641/239317/347462/163550/183071/408178/164661/150434/351297/160276/210737/210169/155598/580123/326896/156625/383695/343154/153312/284621/843295/152819/1034238/932893/142118/1224770/165149/659176/591646/978075/171245
0RmCt3w3oIs,247/251,89718437,148,131305/574733/1047628/725788/140601/1272742/856765/147703/739224/1115138/167480/1297309/172476/1166350/531740/151581/373650/1224614/152336/716519/1061506/157156/1135494/159675/1263666/869246/148984/1262578/154966/896732/974966/169900/1316823/883950/164131/1282400/646455/140283/911023/134094/1192471/1054388/134088/627910/1081898/140042/647187/1024319/138151/1290638/132277/1064708/956361/158660/900058/1084547/164313/1301829/1256832/166921/873833/159822/1135847/753662/141966/823299/280646/163462/914893/752109/161640/811805/419145/150303/1284827/889947/147202/492477/481035/153973/790577/433437/161008/1079045/654563/159878/510884/1086657/170750/995956/608586/177025/1315096/168894/873464/605046/853527/152906/937130/1164866/152534/740565/1162389/151046/1303423/154677/830447/730758/1260008/151806/370981/146367/722505/864591/155316/141832/492479/153641/389356/452709/163550/255451/493354/164661/219126/451006/160276/254731/290686/155598/827086/459108/156625/539302/483704/153312/434622/1134029/152819/1035449/1106150/142118/1171169/165149/863768/575800/876716/171245
0RmCt3w3oIs,398/251,73513779,148,131305/514674/721286/587655/140601/1056563/615366/147703/558700/914492/167480/1120508/172476/968478/479549/151581/478346/850565/152336/579690/731181/157156/758141/159675/914252/633068/148984/1171817/154966/720205/803316/169900/835157/664610/164131/902873/607144/140283/688251/134094/811179/717872/134088/513708/717225/140042/684759/731899/138151/946516/132277/734942/690710/158660/697817/812409/164313/1061525/773605/166921/681849/159822/769946/656926/141966/688202/283366/163462/820102/676161/161640/682544/433032/150303/987520/690747/147202/478991/496851/153973/708503/428531/161008/777668/561656/159878/485688/898139/170750/720367/519677/177025/1010901/168894/662684/516332/635147/152906/709396/903033/152534/576372/838623/151046/951437/154677/639758/589921/897711/151806/395688/146367/692014/612131/155316/126136/492326/153641/453552/467215/163550/304394/519664/164661/280985/522924/160276/293004/362486/155598/755137/443067/156625/583487/496558/153312/456805/894792/152819/757524/820272/142118/910453/165149/687577/488412/662276/171245
1d8ly3Lp3Mo,136/251,95417050,161,140558/1155178/612659/137962/552138/524810/141557/673524/534351/17739/744390/878398/107349/1279270/980810/132400/873651/872803/131237/610504/646147/139448/435286/634698/132665/853337/614303/135200/608075/880526/137873/857512/993785/133511/895542/686874/129650/875328/480590/139738/784700/513605/136204/684924/755546/126950/653904/974165/133663/465515/375134/127872/745858/435158/135401/530433/504802/130659/405975/302777/140712/404144/310876/134597/588958/132720/1344387/519725/132171/534922/922090/125864/651582/665437/128216/978462/812596/125100/728996/706915/129437/687469/500682/119766/624673/1349293/30540/1398377/1471546/4511/1435412/824308/132302/781688/949001/132259/1398919/1157319/129417/833879/908961/133239/952276/782794/139750/645868/712593/137850/1316675/1100307/139167/968268/899747/137980/721289/980741/135642/842806/1022468/132115/1035828/705606/154910/753356/799620/63785/993076/4511/1366461/1227192/147907/1067475/985067/140977/1095745/1101344/138428/1061722/568341/137036/1216962/1139423/135239/782210/919006/130478/363059/823503/127889/754322/1175817/142717/1243930/872030/139319/1347640/669967/138695/650797/659456/600616
1d8ly3Lp3Mo,247/251,58872418,161,140558/785559/353032/137962/340008/305904/141557/368370/300053/17739/374688/467522/107349/582552/429707/132400/450241/593973/131237/303197/489288/139448/288458/337964/132665/494130/359680/135200/300508/539647/137873/430415/634830/133511/513935/370583/129650/488854/257179/139738/294660/295732/136204/322711/365916/126950/384071/572964/133663/258230/200039/127872/346482/275149/135401/277590/272776/130659/251499/160830/140712/232885/171221/134597/263114/132720/835316/314837/132171/315680/501022/125864/420627/399167/128216/539642/527280/125100/436942/457433/129437/428097/352983/119766/383341/640432/30540/723564/741983/4511/612473/446543/132302/376211/469039/132259/813102/729750/129417/466770/641619/133239/584736/555477/139750/502530/544104/137850/816799/585258/139167/597071/702260/137980/424039/608218/135642/520404/793369/132115/683891/434271/154910/444829/452660/63785/616775/4511/853702/717194/147907/775721/617095/140977/547384/546070/138428/514618/315827/137036/916872/586230/135239/484457/706064/130478/239537/605939/127889/554869/644625/142717/785747/628351/139319/900171/366461/138695/349139/365054/329234
2oPcgifcEb8,136/251,82565190,139,173996/1180572/806597/157502/1016618/1198026/167555/681773/435911/171162/1200145/1076634/168055/846900/897477/156977/1204085/880221/158742/918212/875291/170781/1044488/579267/165807/597287/160364/1305662/1441323/140163/1296415/1060091/153831/1156184/887632/161177/452855/533120/173618/572228/608378/155251/587313/347594/160111/591471/503678/151333/409204/175223/712396/723635/157332/695982/471199/168278/266366/531794/173835/520679/341375/168198/574790/567786/169131/514783/822679/162242/331941/198928/159487/503512/157332/976205/764284/155626/984110/1259572/155736/1340177/382439/156845/1002661/1032681/165110/1302092/904824/156987/968527/536379/164323/743573/767808/162095/844043/155505/1384472/1074494/157755/1412240/895068/155205/1074646/383103/161839/481279/645851/158385/632077/1057592/154939/1052840/1047984/154192/666672/522031/155410/760812/145939/1200421/332680/155913/747612/860023/169718/1219476/1246164/150655/736218/679637/152273/1429494/1197643/162914/650375/739437/155749/1143311/702411
