vid,itag,contentlength,seg_num,seg_list
Sv-C9dk7iHE,398/251,41742290,129,127282/107639/34509/297723/165282/544547/385843/168258/630553/304750/169777/216976/620865/157314/426195/444664/665673/154272/468965/505584/163194/409924/634389/155167/287749/760662/156956/653481/150770/580380/792874/150079/802259/619279/162075/555807/190798/153174/445421/302206/165694/288487/176992/159925/343684/265576/157955/176136/279458/161991/461963/623910/149737/244476/167444/237310/550400/179745/356784/396842/210806/168011/276771/299247/164915/364307/292506/175137/275786/365297/152278/457688/418201/574871/150427/575093/157367/215063/498964/155802/196666/325500/168455/303441/366648/163946/160751/463900/605094/162297/315980/173149/371304/333149/193961/174240/226503/128622/175550/363937/515746/164299/339511/473953/163800/334546/150192/168859/372960/439940/164431/349541/591846/161040/251002/471568/639289/144562/303030/274890/171431/373574/781345/159595/656358/320306/168591/305678/270765
TR_CyKwhArI,136/251,36882135,174,163467/654011/912977/161807/111721/33364/166458/21643/135583/166193/63422/74792/169886/25541/163442/264269/175509/240428/168175/146595/200136/167124/255899/748397/165215/152867/164396/69173/98057/125148/169798/281585/754421/172815/149114/51246/160630/154835/212552/164683/296299/168932/41431/223300/205603/162691/171726/395512/169849/250425/79788/172176/163008/720355/168732/110006/415475/170533/673894/289979/164947/858141/167823/855739/92588/171590/56440/749713/171386/563458/187932/160060/186532/135878/165692/106732/138474/164188/116453/173944/141771/219572/162967/128478/285037/169301/230237/167881/180094/127460/173364/165464/214997/110418/165700/304464/116578/166853/276559/94699/170426/225392/169181/114755/208111/169717/151748/719174/162174/92596/177190/163809/313999/164758/70555/54876/135996/164644/82640/121627/162750/44171/179601/163597/237103/797647/170106/71373/78840/170567/110352/162381/37363/115050/528360/168922/440869/184830/162797/107689/152218/142539/167303/140927/142562/176417/83460/257470/163896/253082/161282/195957/619455/168288/243989/148288/167837/59844/129027/165409/154342/82973/164107/180771/250137/170084/125488/307277/166539/538328/170281/169323/90889/50906
TR_CyKwhArI,247/251,48186964,174,163467/492989/542584/161807/204313/79654/166458/52730/203519/166193/159046/111753/169886/39421/329861/476234/175509/557876/168175/240226/588413/167124/359801/530731/165215/320627/164396/115141/169438/248707/169798/484101/515217/172815/314809/53465/160630/254135/343833/164683/362763/168932/148826/259599/363219/162691/297858/447359/169849/574477/99167/172176/264409/474179/168732/137395/720428/170533/1070307/421403/164947/528615/167823/550767/165000/171590/110008/568623/171386/697707/375737/160060/342985/274682/165692/225005/228506/164188/164322/173944/275632/311209/162967/229420/509603/169301/503903/167881/350076/270618/376469/165464/503766/212629/165700/531366/237409/166853/449876/200627/170426/338070/169181/208636/327548/169717/255371/605350/162174/230810/429972/163809/427805/164758/182886/79728/219878/164644/130951/216108/162750/111689/300398/163597/349249/529249/170106/225989/104899/170567/208119/162381/112793/192307/843510/168922/555162/343357/162797/212328/284807/392251/167303/269217/207588/176417/153047/490633/163896/362462/161282/422170/521767/168288/454785/252987/167837/124787/315280/165409/423390/143371/164107/310983/461691/170084/179461/539082/166539/556733/312111/169323/146069/74142
TR_CyKwhArI,398/251,37279588,174,163467/331410/669087/161807/102226/49680/166458/36339/134807/166193/84614/63210/169886/22479/202977/366639/175509/370617/168175/148545/295040/167124/276370/611816/165215/184148/164396/71276/86295/132003/169798/369069/495372/172815/160428/41507/160630/156465/209209/164683/270435/168932/59016/198228/212855/162691/185885/312464/169849/293842/95837/172176/200651/435108/168732/110095/612968/170533/1023062/287479/164947/555261/167823/1108353/92602/171590/61297/910875/171386/478630/216689/160060/203849/160063/165692/115759/133458/164188/102368/173944/163631/236378/162967/141229/349092/169301/327811/167881/212094/166337/220189/165464/308401/132290/165700/440668/140396/166853/283353/99504/170426/188443/169181/127283/184449/169717/142928/468418/162174/108674/226972/163809/300591/164758/84610/44199/130534/164644/81491/135721/162750/51701/202066/163597/218557/402236/170106/102989/65950/170567/114243/162381/58557/111858/684729/168922/516891/210568/162797/104007/174379/191121/167303/151913/132722/176417/94069/256837/163896/263945/161282/232808/325943/168288/282023/154723/167837/79160/178387/165409/217755/87410/164107/195101/312803/170084/123637/505347/166539/350864/183029/169323/94335/57531
TSTQrvVkQvM,136/251,51936089,139,150312/206773/251792/210149/141935/237623/720569/164563/249475/299093/161284/648953/621311/160940/170461/572780/173456/841234/225639/172585/639955/305202/172711/805034/161018/387761/695138/164384/542948/327462/201117/162660/783868/872006/160496/756906/156868/450669/384099/150713/802313/402392/159132/455980/741983/149297/711025/526651/169859/796519/687407/154981/848073/151016/828753/596381/165730/175506/147308/134192/170015/826544/766797/162585/714301/158123/301172/750749/152770/583539/381941/154802/830132/208659/148626/354173/149269/108805/135913/174218/154511/221484/199674/152535/230930/142325/162599/848285/157228/598477/795267/155433/837806/549662/147666/864481/155973/471186/240477/150626/153892/246832/156605/204435/215327/161110/360311/146156/191190/473132/899287/150767/819344/157907/604523/232213/163686/180645/692729/145686/489464/761055/163641/295517/290715/198316/224631/185719/716957/656101/185809/345083/563325/192176/583450/548647/183442/428840/569531
TSTQrvVkQvM,247/251,54145227,139,150312/506501/542816/354570/141935/495238/551013/164563/504088/558068/161284/653342/597240/160940/337398/431021/173456/542921/431389/172585/742865/689878/172711/479049/161018/614416/802305/164384/807044/576387/397614/162660/1011977/538567/160496/530836/156868/563301/534140/150713/527068/486158/159132/611591/554134/149297/533355/911474/169859/547819/787026/154981/520418/151016/494192/526894/165730/311855/245107/272283/170015/531005/545536/162585/586423/158123/473832/554114/152770/740258/486374/154802/532207/368639/148626/511407/149269/182558/242832/302122/154511/513652/316467/152535/401369/317004/162599/551940/157228/627055/535831/155433/524559/996253/147666/618234/155973/331276/312194/201560/153892/371521/156605/328064/322092/161110/471502/146156/185762/280680/519340/150767/539397/157907/867602/323751/163686/325054/566966/145686/376125/540584/163641/409595/449889/198316/323396/185719/466375/454392/185809/265185/867796/192176/835501/633383/183442/388733/813825
TuavVCGg82c,136/251,105138277,169,110315/666006/848511/107744/1140278/1361934/119195/1381308/1390164/110688/1434603/1472328/107135/1417811/1426247/105654/1204168/1352742/106685/1361087/1080639/106775/1368734/108449/1431697/1350695/107549/1389283/1234703/106241/1407530/1266311/104694/1224551/1457963/109459/1414517/1360677/105454/1445761/1347880/106172/1270803/812532/108786/892343/111184/788619/764388/113149/747320/703247/111972/737941/637137/108106/844333/728073/111869/766622/626454/110335/433971/411943/112547/221135/213155/110809/359771/107668/669828/703436/109100/799650/669732/111496/768679/991670/111084/1082032/992693/108364/997000/961471/107452/998596/676588/111498/820903/833537/104929/819415/109620/811624/567148/109598/698572/613824/103422/1107779/969949/108958/738283/823556/108361/991426/1068051/108809/853895/838455/111288/825966/887613/110064/1100530/110140/808923/852247/112597/894374/480077/111792/900966/879350/111196/1113817/774877/104603/867511/841432/109971/868720/826405/104819/941400/553293/108992/743724/117674/785995/756243/115784/815357/771066/112278/686933/647181/115301/783615/890201/106959/785483/646751/4511/705770/641321/4511/783166/661259/4511/681380/4511/675535/697642/4511/396046/506869/4511/403026
TuavVCGg82c,247/251,61165403,169,110315/457946/514519/107744/556030/627879/119195/642486/665638/110688/731472/806238/107135/811311/620688/105654/601160/620385/106685/629727/595073/106775/626797/108449/681798/614411/107549/646556/590972/106241/617294/621212/104694/585874/608793/109459/707139/767384/105454/781187/637231/106172/611272/483562/108786/510274/111184/496032/479870/113149/469088/455667/111972/467510/426108/108106/507378/475959/111869/469206/408714/110335/316387/294854/112547/170333/157157/110809/252204/107668/451913/444775/109100/484172/443485/111496/507513/543090/111084/559404/550677/108364/548481/537219/107452/552805/445481/111498/478200/476514/104929/479144/109620/470164/361196/109598/422269/389727/103422/554889/519447/108958/473608/510178/108361/552306/567055/108809/512955/491951/111288/490036/512896/110064/580718/110140/452917/457282/112597/492930/309260/111792/507360/506190/111196/549257/456110/104603/467254/470140/109971/517442/477425/104819/493533/315540/108992/415583/117674/478166/469753/115784/460016/457775/112278/435706/426816/115301/480562/480175/106959/472310/440416/4511/451199/441016/4511/472729/428969/4511/449332/4511/424832/437581/4511/256631/305968/4511/230667
UAcuBD2bDag,136/251,60938949,138,148688/393048/821141/759169/139373/424537/402137/159951/504225/381326/162380/949262/526605/491644/154469/389684/171327/346131/647616/156798/1544299/1252276/153629/1341411/459323/179973/457013/171681/437682/651926/170804/295201/580218/173286/522235/652901/170127/712273/125620/710986/881632/125713/402957/718533/155347/385523/369310/163294/326341/165712/479006/234257/158400/299634/252661/409389/137889/318134/143092/205118/907005/135359/728187/469755/139474/326790/719414/152766/478149/347207/153040/291898/365327/150377/292768/417903/132974/431547/135863/240401/299015/570075/154022/542460/828525/156025/696981/793817/149164/467407/764190/172278/367477/586745/154428/871116/837478/159428/542941/148760/625073/887070/147976/381590/733822/143765/828335/973660/144337/809055/168905/348916/726794/169143/274165/496588/153118/797796/346775/123511/623004/895756/125057/433498/996489/143554/475556/992631/163869/695778/384940/155105/630696/626822/138512/899580/858901/131362
UAcuBD2bDag,247/251,71502763,138,148688/492979/1036427/979116/139373/566598/510032/159951/690047/515530/162380/834793/678630/562123/154469/374640/171327/356413/821604/156798/1225679/980461/153629/1193358/650910/179973/650660/171681/535708/779902/170804/329241/674132/173286/572566/703412/170127/875041/125620/943581/1175075/125713/551385/679665/155347/433826/365488/163294/312389/165712/548168/257352/158400/319850/233163/509511/137889/365308/143092/242007/1036281/135359/1064423/690264/139474/475527/870221/152766/702819/318399/153040/236504/471354/150377/372484/600560/132974/608324/135863/345540/443879/683296/154022/751263/1117536/156025/940131/1014405/149164/570351/1007955/172278/490653/789430/154428/1053539/1211817/159428/756048/148760/787277/1014267/147976/453682/783267/143765/1035219/1193086/144337/981110/168905/414188/894851/169143/348442/600697/153118/960880/447640/123511/736598/1058015/125057/517669/1156152/143554/528332/1148233/163869/819656/469399/155105/774420/770589/138512/1090996/1032870/131362
UAcuBD2bDag,398/251,62814864,138,148688/437126/774496/668008/139373/586741/422204/159951/591988/462578/162380/630004/594215/595857/154469/375085/171327/381458/665989/156798/1083724/790834/153629/960242/621668/179973/675291/171681/531756/702908/170804/343552/695396/173286/620494/679110/170127/635301/125620/764922/780768/125713/474347/563433/155347/461350/439143/163294/362193/165712/590883/303895/158400/365657/284120/582081/137889/450156/143092/297296/818944/135359/728884/661038/139474/410213/680778/152766/663971/382606/153040/285750/598613/150377/317011/614709/132974/639580/135863/416765/487190/639724/154022/583725/716311/156025/685919/708457/149164/530169/680653/172278/452008/658387/154428/857820/728580/159428/592088/148760/646157/823212/147976/445471/757530/143765/718075/895650/144337/796484/168905/442021/764508/169143/363900/639757/153118/832363/437747/123511/669230/852214/125057/452184/908081/143554/453422/904549/163869/656002/444780/155105/679966/674382/138512/835121/867832/131362
UFl7XQvoTws,136/251,93672874,119,149942/926799/1159987/155665/892465/814955/167780/633567/794764/170874/794828/522334/141243/643548/576257/158157/852107/590768/167413/962152/758121/166636/773640/174931/538938/1183349/165853/927994/623117/166844/685109/438616/176228/825622/588288/165121/582063/1079559/126631/894889/909860/119825/726533/1196299/128693/1078765/127578/1354748/928020/143861/487840/1072287/161873/1077569/868511/154758/1374011/1663222/157178/1662137/1607772/162376/1468744/143766/1087865/1492958/148839/1401382/1694500/160399/1532884/1421388/178796/1606855/1613603/162016/1221309/1408684/156187/1405631/1344536/165789/1558789/1354630/161543/1476240/1508988/155244/1591382/164225/1628721/1624960/166136/1628229/1543447/155099/1294142/1008976/161192/1466955/156609/1634989/1290339/140492/775485/1297229/136257/896283/1071486/146683/1031027/729098/164578/965611/169278/972449/828561/154977/857694
UFl7XQvoTws,247/251,58129544,119,149942/513705/568164/155665/451713/459410/167780/447597/439882/170874/519438/414007/141243/367725/359572/158157/512560/366384/167413/518244/467913/166636/369716/174931/266922/549371/165853/466153/358228/166844/400808/275492/176228/506459/352405/165121/384345/558432/126631/457062/449585/119825/406708/540772/128693/467362/127578/558108/417189/143861/315708/515165/161873/490840/574030/154758/1050656/2659437/157178/2074383/1509278/162376/1248956/143766/705264/983240/148839/895800/870407/160399/807830/703166/178796/903916/772755/162016/554491/628299/156187/625763/726558/165789/1024765/1026945/161543/736842/972028/155244/794275/164225/912236/893958/166136/991261/878722/155099/760847/541774/161192/729936/156609/757066/764080/140492/431435/577165/136257/475169/539697/146683/495352/463081/164578/516255/169278/489489/431379/154977/444304
UOo-EDoTsZs,136/251,57311670,180,157532/558102/530852/441164/160481/318460/164261/348927/251193/465863/159659/42286/160128/19797/216396/159210/85150/431816/160727/786061/151811/157301/196917/575042/162039/239056/420823/153712/157915/120248/86857/158229/180707/227781/157689/429523/239162/153188/605607/496923/157247/689889/302610/158478/323379/629959/162369/712298/277817/156216/356341/459693/154691/531577/258046/158290/517085/352706/158247/555452/179311/515802/160326/485301/164569/161249/326751/668467/163558/584490/556046/785879/159818/533693/165834/262307/341342/669086/154509/896916/161431/496987/610359/158438/778962/443164/159095/375871/553208/163832/562578/981488/161501/339767/417923/161636/329231/156814/707171/268971/556405/161000/454088/775187/165020/523453/585043/164801/198107/327275/160924/262061/287570/161605/465649/261635/256311/160665/345641/609617/164659/263341/508317/165915/280958/613486/169354/438990/269764/163829/191838/421995/160529/293796/560226/158921/182662/392129/164324/700236/162672/222521/311457/162706/318001/367889/161981/536535/321981/161090/504450/129795/162115/294426/310381/155639/110644/475903/161963/181761/110900/159989/232206/386689/163326/241896/340955/158523/159955/244469/285900/160523/412808/243595/162796/195708/405359/355401/156961/194496
UOo-EDoTsZs,247/251,64151959,180,157532/748122/580073/454454/160481/449358/164261/459822/352468/533329/159659/49297/160128/25770/191093/159210/54908/623881/160727/1105137/216138/157301/278133/741510/162039/296463/591878/236752/157915/143019/114167/158229/157397/276950/157689/573660/271088/153188/879464/567971/157247/733487/323532/158478/377593/682960/162369/785520/314408/156216/370719/452451/154691/584035/280479/158290/591546/328351/158247/645282/195555/655282/160326/485716/161471/161249/372383/655398/163558/598077/570334/848193/159818/526415/165834/318891/387902/779641/154509/961961/161431/570375/660546/158438/852040/501218/159095/474433/525429/163832/610492/1063223/161501/376579/576169/161636/311784/156814/769359/272819/577430/161000/478341/683773/165020/610272/655827/164801/242116/356216/160924/265933/296274/161605/567360/337214/317256/160665/408311/816429/164659/314071/668915/165915/337923/614830/169354/457846/273364/163829/184529/316401/160529/290638/609210/158921/218468/472017/164324/881410/162672/261257/343010/162706/357420/470364/161981/661362/396063/161090/607509/181765/162115/341784/326829/155639/143032/621826/161963/207813/135510/159989/280066/474833/163326/302441/360686/158523/183683/240720/323702/160523/471291/334206/162796/201152/448099/352604/156961/236497
UOo-EDoTsZs,398/251,63257058,180,157532/646229/620576/488868/160481/478098/164261/483606/349617/511656/159659/40627/160128/23801/175522/159210/73094/526597/160727/927264/240817/157301/287510/672416/162039/280022/565259/257269/157915/186324/121636/158229/185795/297498/157689/502290/280078/153188/667212/556391/157247/622447/354645/158478/406725/697385/162369/697226/359902/156216/401580/493364/154691/599373/304197/158290/601586/359218/158247/567146/267523/639172/160326/456044/175616/161249/431933/636886/163558/473764/525656/702342/159818/550201/165834/345175/424455/656156/154509/951375/161431/523962/596890/158438/670060/503948/159095/514327/530420/163832/510303/909074/161501/402516/617116/161636/332858/156814/638623/293062/585690/161000/508819/554254/165020/578296/685275/164801/258387/395468/160924/329313/293913/161605/605948/372477/320693/160665/513681/684735/164659/321772/541309/165915/363852/652104/169354/468682/293604/163829/241791/322864/160529/311105/598469/158921/247299/494776/164324/727488/162672/296959/400763/162706/408124/495717/161981/624010/394378/161090/601169/190928/162115/376666/350902/155639/169992/509245/161963/199909/152542/159989/293675/493643/163326/329112/400449/158523/197278/248737/358013/160523/491002/378043/162796/235914/486960/368438/156961/252830
WN8kcxDSJbw,136/251,26002291,143,131593/231551/189877/131651/316099/161201/160076/125982/131043/155872/158094/132928/109174/369836/137639/183254/136822/154576/128370/190816/156966/243902/246500/157954/135918/208995/165310/129226/134034/141900/282821/136426/64028/104977/182462/136248/343273/137159/102626/170556/133599/228155/143337/143263/164796/160371/163842/113499/316159/135457/276364/130473/122243/237769/131286/275162/270022/133134/209680/134207/233534/248147/137724/126301/248391/162945/117677/123174/142657/79141/200193/143350/108076/101803/137705/290925/306837/164300/90266/133492/115719/270380/134492/70799/218490/133406/185091/160231/196540/33350/138299/219747/189054/150042/168228/104402/169262/127060/211367/150980/389466/155078/146802/249215/160643/186234/87158/149542/213528/269705/134392/116842/140630/135698/162057/137146/134381/191180/176792/142278/254452/131504/275028/821571/137890/353893/298340/132138/371145/136572/437702/363410/136575/221531/148931/198292/138022/138324/269047/271750/161660/44509/26076
WN8kcxDSJbw,247/251,41343131,143,131593/453465/406743/131651/512382/362202/160076/261610/131043/330792/272308/132928/256671/511629/137639/402541/240370/154576/265182/321552/156966/471991/431438/157954/242419/411929/165310/257667/134034/290172/514949/136426/194834/231698/350092/136248/496832/137159/265842/336501/133599/425580/230670/143263/328754/330699/163842/236808/513883/135457/534848/130473/345313/491361/131286/551028/528821/133134/397774/134207/474944/488942/137724/256306/501945/162945/247720/265230/142657/179722/384533/143350/242486/222718/137705/505277/520923/164300/202628/133492/304937/489931/134492/177030/430108/133406/426020/160231/407426/66679/138299/448348/382878/150042/372563/213522/169262/264505/441686/150980/334283/372443/146802/494185/160643/382713/177957/149542/438978/508874/134392/244143/300335/135698/332888/137146/257106/420346/359915/142278/502187/131504/514572/533036/137890/533076/455054/132138/504633/136572/524318/510094/136575/451158/148931/374577/303598/138324/498314/454772/161660/95053/67877
WN8kcxDSJbw,398/251,31861599,143,131593/301332/280221/131651/424965/243329/160076/174495/131043/227945/186746/132928/164373/490605/137639/269732/167211/154576/205988/212994/156966/335896/286123/157954/165213/292867/165310/219323/134034/203783/374498/136426/114793/172826/271905/136248/455459/137159/201969/242065/133599/271108/146940/143263/242778/234015/163842/158531/416576/135457/381503/130473/188696/341697/131286/380316/378323/133134/291527/134207/383083/344285/137724/187708/342960/162945/174766/175393/142657/141425/264788/143350/154012/155353/137705/425025/412882/164300/115662/133492/201590/357179/134492/119125/352803/133406/269979/160231/273104/41759/138299/277793/268276/150042/278206/141927/169262/183045/303096/150980/242533/261684/146802/338956/160643/280255/139477/149542/296998/360419/134392/170443/199878/135698/228026/137146/175798/261717/256204/142278/331250/131504/344109/581444/137890/371055/287293/132138/395257/136572/460827/438964/136575/299434/148931/268004/186089/138324/367232/302019/161660/51975/33156
XCPFKEiO5Tk,136/251,67000029,138,127373/613632/734532/165885/682531/691824/159354/681628/678443/154619/657011/157118/686921/375766/155005/366846/406527/159985/279006/163782/654372/347668/155720/350521/629801/158972/644828/157190/440990/374202/156086/955899/336496/164204/341691/162722/449842/650624/162707/376469/304907/158825/289996/283975/161443/776488/156829/1211599/1312342/159074/1161354/997808/155849/873089/156533/683889/808027/155631/1102210/1189091/156104/971121/152209/849589/543348/155656/238099/197280/160080/995561/154884/925225/849512/159922/1097620/968411/161359/282488/159836/940754/577507/148249/682637/677100/131213/572893/1016597/162956/881146/155254/733390/363721/163651/337237/374603/161610/318831/159411/1029900/1155423/160960/721836/807490/149471/1012939/152461/829816/405737/152989/314455/1228987/153970/1066738/144410/638890/247184/151614/1261563/998022/153670/252792/245463/160210/738486/157421/847072/394105/154261/518545/500706/155864/742117/155100/686862/795953/152947/762753/733215
XCPFKEiO5Tk,247/251,42455490,138,127373/383276/451976/165885/450125/405752/159354/394511/460965/154619/420474/157118/446618/261612/155005/191177/253160/159985/143608/163782/306667/393040/155720/404790/517629/158972/285591/157190/232006/192131/156086/590239/392725/164204/394417/162722/405915/338248/162707/235968/168018/158825/156710/150979/161443/391055/156829/568817/638816/159074/630391/611078/155849/531216/156533/455126/451820/155631/585732/603374/156104/545430/152209/525944/357615/155656/116062/95294/160080/527274/154884/501348/425238/159922/643036/567043/161359/323192/159836/566010/331871/148249/323373/337452/131213/340458/669175/162956/456336/155254/433884/184929/163651/182474/239057/161610/170543/159411/437752/676788/160960/413621/378462/149471/561281/152461/473463/193097/152989/168349/625428/153970/596368/144410/379342/269878/151614/571232/473433/153670/272862/271491/160210/456071/157421/528409/199379/154261/304151/289072/155864/413530/155100/361764/422053/152947/399053/379194
YOnrQf90GGU,136/251,57951189,174,155385/122362/123062/562599/154476/696007/361530/156570/367887/870590/157087/147261/621068/150891/1233088/426652/147993/707680/687734/155100/748353/581607/149987/110800/116050/151284/731386/711614/149411/484490/374988/153677/113191/540252/151669/418185/368984/150816/770222/182956/150495/177095/889223/154427/512967/297336/159512/779793/167860/156820/631362/816410/151568/349508/627391/151189/127459/155576/158083/475641/133904/152112/568447/338596/160065/328806/401741/154450/806176/127839/148932/145506/758221/153087/138424/141226/148499/140583/514947/150212/558839/702253/149972/642011/328009/151167/547957/426667/151278/929856/686681/151974/140709/496279/151727/211351/121024/151234/114010/524943/151222/413113/108458/147982/91013/93679/152559/368983/138293/148583/132203/648687/154066/159458/840352/152207/175845/727106/147773/163074/163831/153936/133875/603594/151836/468116/127595/151163/108041/98103/153875/96566/130400/149158/294196/402014/146371/439047/541458/152598/86272/404918/148492/140387/153177/154720/773625/234247/153178/696089/635254/154494/1097867/690167/154088/142058/170987/153182/695989/480570/149435/144205/142190/154077/621994/144342/152986/765811/964051/151000/766936/209692/152862/545105
YOnrQf90GGU,247/251,38946876,174,155385/174635/130191/332584/154476/396188/252870/156570/238199/386783/157087/154836/328379/150891/538478/295378/147993/381811/410880/155100/420478/312112/149987/116970/118397/151284/445437/398425/149411/314343/250760/153677/120585/325244/151669/278866/308658/150816/363013/194411/150495/182533/417848/154427/329316/230291/159512/408673/154951/156820/334013/468537/151568/238842/335096/151189/135270/156882/158083/269347/143279/152112/304712/241741/160065/231575/289139/154450/354187/137429/148932/162713/332246/153087/140382/142806/148499/142798/310325/150212/328283/396266/149972/348518/244147/151167/326184/347254/151278/459072/418463/151974/146590/271951/151727/144680/128182/151234/120253/333220/151222/280954/97237/147982/96841/101412/152559/249196/130142/148583/134447/365634/154066/178029/420375/152207/188983/338407/147773/166189/170477/153936/140247/343011/151836/291344/93836/151163/115871/105938/153875/104068/95303/149158/232706/249789/146371/230092/316355/152598/96951/249589/148492/147950/157629/154720/355550/161227/153178/313060/346617/154494/427583/352346/154088/146979/161279/153182/331528/289669/149435/146882/125993/154077/327700/151024/152986/425527/413387/151000/347427/213830/152862/255525
YSZxMhi_eyM,136/251,135114952,138,172893/1423295/1406391/171243/1446544/1415868/163173/1464114/1383636/156455/1411538/1594594/163041/1437721/1441846/150338/1421522/1424416/153633/1422999/1390343/149136/1407811/1415253/165168/1403599/170785/1437036/1423420/168917/1410000/1415813/162589/1418688/1626400/159886/1412583/1476854/159115/1442629/1446786/152371/1428413/1543914/152875/1478564/1389346/154238/1390791/163798/1420204/1436063/156346/1371996/1427810/152743/1400791/1405396/154565/1442170/1440468/154892/1429001/1413528/154938/1462447/1544216/151537/1429457/1398458/162380/1420265/168899/1477585/1423262/170837/1414970/1453331/166651/1353647/1158969/164083/1383263/1425991/162494/1388060/1434733/158680/1414630/1439517/159293/1254982/1118767/160575/1245338/172185/1458343/1427824/172748/1440956/1437078/171053/1381900/1436599/167552/1291165/1326002/161771/1459899/1306701/159498/1524398/939678/160273/1023590/1384636/160891/1489901/164092/1424390/1471691/159901/1421722/1437614/167602/1458891/1387298/168134/1356371/1422734/169601/1446763/1228107/172466/1443690/1334757/172860/1359826
YSZxMhi_eyM,247/251,74834566,138,172893/686329/819025/171243/819055/865301/163173/925542/843617/156455/974279/968090/163041/761386/776654/150338/883049/872733/153633/882863/859134/149136/697273/798276/165168/835591/170785/689105/674303/168917/741053/684540/162589/767194/742833/159886/1112219/1027303/159115/1051748/780183/152371/870376/798775/152875/793547/821507/154238/680218/163798/756844/652339/156346/681680/642852/152743/774860/860505/154565/892739/878208/154892/847038/716375/154938/655834/788801/151537/786241/677866/162380/730541/168899/819385/642150/170837/713926/603291/166651/581279/564218/164083/620157/756700/162494/818101/837356/158680/739966/682777/159293/587218/553004/160575/594146/172185/733417/782855/172748/765615/678883/171053/633348/762973/167552/604122/602330/161771/642765/581741/159498/788324/533361/160273/547170/721025/160891/602879/164092/783833/766692/159901/743040/742545/167602/780867/605974/168134/564623/619526/169601/614713/610914/172466/590829/604022/172860/608663
Zf715NZqPf8,136/251,86658678,113,84245/1488924/1571327/129071/1650230/1316519/140292/1642811/1589906/136135/1564578/146341/1059662/980551/144276/1057151/1124209/138797/1016634/143983/1150577/1113039/130708/1099472/1029626/146416/1002053/132855/1098395/1015429/143692/1095684/1087415/130985/1032193/141026/1059468/991285/135866/1131079/1029140/144825/1004726/145153/1141533/1007886/139240/1244498/145888/1085360/1100171/147424/1070588/1111378/141844/1020362/145610/1117382/1154809/134356/1028568/1126839/143362/1074395/126806/1088047/1119618/147438/1062792/1113622/144457/713601/959856/149168/1087836/1059386/147325/1149820/146772/1030059/1112602/147619/1136988/1028554/154125/1141255/125404/1027271/1096607/144525/1050967/1015203/144509/1222489/131910/992281/1057622/148194/1061598/151194/981957/1163721/127603/1047923/1061165/152444/1111355/148194/1585530/1295224/157116/1356279/1098829
Zf715NZqPf8,247/251,50500490,113,84245/521330/760428/129071/739558/667603/140292/735985/720703/136135/735546/146341/613436/593781/144276/609364/644790/138797/603589/143983/633509/618633/130708/626405/612182/146416/610589/132855/620213/605376/143692/608844/626632/130985/615643/141026/614750/599926/135866/622962/614670/144825/608266/145153/623371/598411/139240/692273/145888/612357/631168/147424/612907/626763/141844/599711/145610/617436/631532/134356/596582/620569/143362/610766/126806/606080/648033/147438/615962/621204/144457/412044/550074/149168/624686/617274/147325/625649/146772/605064/621770/147619/649382/604748/154125/626729/125404/611197/610624/144525/611407/602970/144509/677815/131910/598804/606650/148194/615168/151194/590257/624890/127603/612196/607532/152444/627249/148194/837507/648367/157116/585727/577331
_M-vyKuOSA8,136/251,112210619,155,145566/858839/1152234/145965/914742/1161639/145767/1161376/1139269/145038/832364/1160088/148928/1190547/721310/146516/978758/460618/149379/889893/498657/147695/1213855/1391421/146143/871724/160076/744403/960584/166305/994383/1597562/163997/1450913/1489195/160380/1415965/1536400/154601/1147429/317513/153932/563109/1208364/149567/1388772/1219132/153351/757575/157708/398414/231233/147155/319155/1156343/142794/506446/1161653/144853/1007193/461062/146364/781498/1023318/147574/900294/873801/145136/1372471/601121/151201/515068/145690/969610/960322/149358/734837/746735/146705/555137/1040010/148156/738161/1100668/146221/1299309/780156/146629/540429/1425329/149321/895761/822051/151828/764652/156529/693336/846252/149362/854518/1018044/147852/807482/1403431/150582/841326/645459/150430/744864/1002143/150252/1278623/1199225/147039/977061/1396638/148848/1027227/150384/1031927/1198918/150779/1399222/859627/156482/1036922/996246/151761/1432859/1118755/148309/1540335/1457060/144973/1408272/1307165/150646/392966/1057466/153063/1213676/150978/1500124/1429810/149663/1377664/1403277/148653/1390906/1543648/151689/1514876/1470707/143181/1516808
_M-vyKuOSA8,247/251,61345797,155,145566/457089/585514/145965/521675/569779/145767/562866/560314/145038/437962/552856/148928/527950/444650/146516/512451/264099/149379/374583/341663/147695/484149/666828/146143/493578/160076/426019/540138/166305/551397/576953/163997/718791/640903/160380/640122/592703/154601/548639/291335/153932/335918/532975/149567/660949/594440/153351/425988/157708/258098/158437/147155/228741/591237/142794/277708/517252/144853/538608/263756/146364/472082/532421/147574/494784/470049/145136/731627/416780/151201/284121/145690/520604/537673/149358/433208/460018/146705/323720/501886/148156/392412/505379/146221/587225/479194/146629/357744/639250/149321/464715/456780/151828/419572/156529/392481/485071/149362/477094/526004/147852/413916/527075/150582/438379/384056/150430/449263/541441/150252/608936/521798/147039/507697/627623/148848/558317/150384/529986/511449/150779/691222/498607/156482/591379/557161/151761/715943/561010/148309/704009/829898/144973/738136/649401/150646/248900/537569/153063/548954/150978/569935/630146/149663/737967/741996/148653/660294/904993/151689/1004332/791673/143181/776005
